"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday"
4,"Alita: Battle Angel","USA/Can/Arg","1417674","20th Century Fox",-0.556436975631276,2,537,2639,5709583,2019-02-17
5,"Green Book","USA","740086","eOne Films",-0.309068265458735,3,535,1383,5134760,2019-02-17
6,"Happy Death Day 2U","USA","735454","Universal",NA,1,436,1686,735454,2019-02-17
7,"The Kid Who Would be King","UK/USA","666749","20th Century Fox",NA,1,491,1357,666749,2019-02-17
8,"If Beale Street Could Talk","USA","368796","eOne Films",0.461579616925656,2,339,1087,818825,2019-02-17
9,"Glass","USA","311937","Disney",-0.442847268239274,5,306,1019,10289146,2019-02-17
10,"The Favourite","UK/USA/Ire","283702","20th Century Fox",0.135502927791809,7,301,942,15264399,2019-02-17
11,"Gully Boy","Ind","267574","DCPi",NA,1,66,4054,267574,2019-02-17
12,"Bohemian Rhapsody","UK/USA","227344","20th Century Fox",-0.0720880304972123,17,265,857,53337832,2019-02-17
13,"A Private War","UK/USA","223438","Altitude",NA,1,74,3019,223438,2019-02-17
14,"Mary, Queen of Scots","UK/USA","222166","Universal",-0.577748381627913,5,289,768,8404649,2019-02-17
15,"Planeta Singli 3","Pol","197243","Magnetes",NA,1,141,1398,197243,2019-02-17
20,"Stan and Ollie","UK/USA","95410","eOne Films",-0.536959296484851,6,198,481,10089849,2019-02-17
22,"All is True","UK","78469","Sony Pictures",-0.706381338681674,2,168,467,606782,2019-02-17
25,"Kala Shah Kala","Ind","38983","Zee Studios",NA,1,14,2784,38983,2019-02-17
34,"Colette","UK/USA","14742","Lionsgate",-0.505169172932331,6,21,702,2083168,2019-02-17
37,"Jellyfish","UK","11505","Republic Film",NA,1,9,1278,11505,2019-02-17
38,"The Lady Eve (Re: 2019)","USA","10101","BFI",NA,1,4,2525,10101,2019-02-17
41,"Fall in Love at First Kiss","Chn","8086","Asia Releasing",NA,1,13,622,8086,2019-02-17
42,"Hey Duggee at the Cinema","UK","7696.9211875554902","Vue Entertainment",-0.464863125067144,5,84,91,182614,2019-02-17
48,"Mektoub, My Love","Fra/Ita","3623.9999999905199","Curzon",NA,1,8,452,3623,2019-02-17
49,"9 (Nine)","Ind","3257.5400000038499","B4U Movies",NA,1,9,361,3257,2019-02-17
50,"Naughty Grandma 2","Rus","3091.9000000091","Kinostar",NA,1,6,515,3091,2019-02-17
53,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","2808.5599999841302","Cinevents",1.0712094395244,4,37,75,22449,2019-02-17
55,"Disney's Christopher Robin","UK/USA","2351","Disney",-0.185377685377685,27,13,180,14875899,2019-02-17
59,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","1565","Warner Bros",-0.762266443870576,14,3,521,33995565,2019-02-17
60,"London Unplugged","UK","1459","Munro Film",NA,5,1,1459,5257,2019-02-17
61,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","1363.0000000013599","National Theatre",-0.763080132104701,12,1,1363,639438,2019-02-17
64,"The Wife","UK/Swe/USA","1164","Picture House Entertainment",0.193846153846154,21,2,582,1721623,2019-02-17
65,"Notting Hill (20th Anniversary)","UK/USA","1125.2778758311099","Park Circus",NA,2,2,562,42548,2019-02-17
70,"La Traviata - ROH, London 2018/19 (Opera)","UK","930","Royal Opera House",0.338129496402878,4,2,465,684360,2019-02-17
73,"The Tragedy of King Richard the Second - NT Live 2019 (Theatre)","UK","877.00000000009504","National Theatre",-0.412788751254346,6,2,438,300206,2019-02-17
74,"Exhibition on Screen: Young Picasso 2019 (Exhibition)","UK","752","Seventh Art Production",-0.986823199579464,2,1,752,73966,2019-02-17
76,"Kala Shah Kala (Ireland)","Ind","703","RFT Films",NA,1,1,703,703,2019-02-17
80,"Piercing","USA","348.99999999997499","Vertigo",NA,1,2,174,348,2019-02-17
82,"The Winter's Tale: Live from Shakespeare's Globe (Theatre)","UK","258","More2Screen",NA,21,1,258,122083,2019-02-17
87,"Everybody's Talking About Jamie (Musical)","UK","142.999999998893","More2Screen",-0.937004405286836,34,1,142,970300,2019-02-17
1,"The LEGO Movie 2","Den/Nor/Aus/USA","2410823.63539084","Warner Bros",-0.0248322120151099,3,661,3647,14014439,2019-02-24
2,"Instant Family","USA","1672863","Paramount",-0.323650596695765,2,562,2976,6398291,2019-02-24
3,"How to Train Your Dragon: The Hidden World","USA","1665724","Universal",0.00833253125531566,4,644,2586,15877875,2019-02-24
4,"Alita: Battle Angel","USA/Can/Arg","870704","20th Century Fox",-0.385766236697953,3,478,1821,7721031,2019-02-24
5,"The Kid Who Would be King","UK/USA","651610","20th Century Fox",-0.0208832951670002,2,512,1272,2595481,2019-02-24
6,"Cold Pursuit","Fra/USA","631467","StudioCanal",NA,1,417,1514,631467,2019-02-24
7,"Green Book","USA","473562","eOne Films",-0.360117933674469,4,499,949,6178872,2019-02-24
8,"On the Basis of Sex","USA","458914","eOne Films",NA,1,452,1015,458914,2019-02-24
9,"Total Dhamaal","Ind","250601.071758237","20th Century Fox",NA,1,81,3093,250601,2019-02-24
10,"Bohemian Rhapsody","UK/USA","209037","20th Century Fox",-0.0842274043537498,18,297,703,53745135,2019-02-24
11,"Happy Death Day 2U","USA","198743","Universal",-0.72976864662012,2,404,491,1318935,2019-02-24
12,"The Favourite","UK/USA/Ire","171270","20th Century Fox",-0.399130639180177,8,296,578,15680853,2019-02-24
13,"Glass","USA","169670","Disney",-0.456857861747966,6,249,681,10653825,2019-02-24
14,"Mary, Queen of Scots","UK/USA","142022","Universal",-0.364657146947248,6,204,696,8782274,2019-02-24
15,"Capernaum","Leb/Fra/USA","140770","Picture House Entertainment",NA,1,48,2932,140770,2019-02-24
17,"Mary Poppins Returns","UK/USA","125168","Disney",-0.101772515249372,10,294,425,43991230,2019-02-24
24,"Don Quixote - ROH, London 2018/19 (Ballet)","UK","60747.475786036703","Royal Opera House",NA,2,87,698,573309,2019-02-24
26,"A Private War","UK/USA","54638","Altitude",-0.755964876236076,2,90,607,366944,2019-02-24
27,"All is True","UK","39972","Sony Pictures",-0.491256204658266,3,119,335,742724,2019-02-24
28,"Kumbalangi Nights","Ind","39377.228174329597","RFT Films",NA,1,71,554,39377,2019-02-24
30,"Stan and Ollie","UK/USA","34055","eOne Films",-0.651896146376367,7,127,268,10243497,2019-02-24
37,"Elves & The Shoemaker - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","14385.469999986701","Cinevents",NA,1,145,99,14385,2019-02-24
39,"LKG0","Ind","10373.050000000199","Independent",NA,1,12,864,10373,2019-02-24
41,"High End Yaariyaan","Ind","9315.2299999935494","Rising Star Entertainment",NA,1,11,846,9315,2019-02-24
43,"Old Boys","UK/Swe","7677","Verve",NA,1,4,1919,7677,2019-02-24
46,"Hey Duggee at the Cinema","UK","7455.5630639887904","Vue Entertainment",-0.0313577491162222,6,85,87,204372,2019-02-24
50,"Colette","UK/USA","3676","Lionsgate",-0.787342357977554,7,16,229,2123848,2019-02-24
55,"Jellyfish","UK","1828","Republic Film",-0.841112559756627,2,4,457,18576,2019-02-24
56,"Fantastic Beasts: The Crimes of Grindelwald","UK/USA","1739","Warner Bros",0.111182108626198,15,2,869,34003011,2019-02-24
57,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","1732.9999999987101","National Theatre",0.271460014671299,13,3,577,641751,2019-02-24
64,"Woman Walks Ahead","USA","1274.2000000023399","Independent",NA,1,1,1274,1274,2019-02-24
65,"The Tragedy of King Richard the Second - NT Live 2019 (Theatre)","UK","1251.0000000011","National Theatre",0.426453819841465,7,2,625,301855,2019-02-24
67,"Everybody's Talking About Jamie (Musical)","UK","1022.50000000118","More2Screen",-0.650216882636478,35,1,1022,974103,2019-02-24
76,"Allelujah! - NT Live 2018 (Theatre)","UK","406","National Theatre",NA,18,1,406,961619,2019-02-24
77,"Exhibition on Screen: Young Picasso 2019 (Exhibition)","UK","374","Seventh Art Production",-0.814484126984127,3,2,187,81865,2019-02-24
78,"London Unplugged","UK","369","Munro Film",-0.747087045921864,6,1,369,5745,2019-02-24
81,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","338.99999999753999","Cinevents",-0.879297575982192,5,2,169,28328,2019-02-24
84,"The Wife","UK/Swe/USA","249","Picture House Entertainment",-0.856731875719217,22,2,124,1724699,2019-02-24
1,"Fighting With My Family","UK/USA","2022174","Lionsgate",NA,1,573,3529,2022174,2019-03-03
2,"The LEGO Movie 2","Den/Nor/Aus/USA","1389726","Warner Bros",-0.425654500677572,4,621,2237,15828621,2019-03-03
3,"Instant Family","USA","1085662","Paramount",-0.349435912370618,3,536,2025,8029102,2019-03-03
4,"How to Train Your Dragon: The Hidden World","USA","1048106","Universal",-0.372743556459639,5,601,1743,17274691,2019-03-03
5,"Green Book","USA","742723","eOne Films",0.571508067826448,5,554,1340,7409253,2019-03-03
6,"The Aftermath","UK/Ger","595657","20th Century Fox",NA,1,562,1059,595657,2019-03-03
7,"Alita: Battle Angel","USA/Can/Arg","560499","20th Century Fox",-0.358360559652541,4,390,1437,8622852,2019-03-03
8,"The Kid Who Would be King","UK/USA","376644","20th Century Fox",-0.424366357334116,3,478,787,3086074,2019-03-03
9,"Cold Pursuit","Fra/USA","366278","StudioCanal",-0.421592949421479,2,415,882,1393720,2019-03-03
10,"Kobiety Mafii 2","Pol","299502","Phoenix",NA,1,251,1193,299502,2019-03-03
11,"The Favourite","UK/USA/Ire","287797","20th Century Fox",0.663008933421165,9,363,792,16251192,2019-03-03
12,"Bohemian Rhapsody","UK/USA","278829","20th Century Fox",0.332121426387403,19,341,817,54202368,2019-03-03
13,"On the Basis of Sex","USA","248467","eOne Films",-0.459628801586749,2,402,618,1030196,2019-03-03
14,"La Fille Du Regiment - Met Opera 2019 (Opera)","USA","240965","Trafalgar",NA,1,202,1192,240965,2019-03-03
15,"Ralph Breaks the Internet","USA","155841","Disney",1.77445255474453,14,381,409,18458758,2019-03-03
16,"Alien (40th Anniversary)","UK","129245","Park Circus",NA,1,210,615,129245,2019-03-03
18,"The Hole In The Ground","Irl/Bel/Fin","96403","Vertigo/Wilcard",NA,1,140,688,96403,2019-03-03
21,"Mary Poppins Returns","UK/USA","70488","Disney",-0.45095962113659,11,227,310,44095081,2019-03-03
29,"Mary, Queen of Scots","UK/USA","56013","Universal",-0.612498184006807,7,110,509,8964227,2019-03-03
32,"Stan and Ollie","UK/USA","30909","eOne Films",-0.215706673433139,8,96,321,10361493,2019-03-03
33,"All is True","UK","24540","Sony Pictures",-0.390810019114763,4,93,263,836962,2019-03-03
34,"A Private War","UK/USA","23084","Altitude",-0.579641263771283,3,48,480,439191,2019-03-03
35,"Sauvage","Fra","21569","Peccadillo",NA,1,14,1540,21569,2019-03-03
36,"Foxtrot","Isr","21037","Curzon",NA,1,22,956,21037,2019-03-03
38,"What They Had","USA","16685.942602441799","Universal",NA,1,111,150,16685,2019-03-03
40,"Ring (4K Restoration)","Jpn","10906","Arrow Films",NA,1,58,188,10906,2019-03-03
42,"Hannah","Fra","8877","606 Distribution",NA,1,12,739,8877,2019-03-03
44,"Hey Duggee at the Cinema","UK","6555.7580298000403","Vue Entertainment",-0.120689078271621,7,86,76,212750,2019-03-03
49,"Lancaster Skies","UK","5575.4999999951497","Kaleidoscope",NA,2,3,1858,23596,2019-03-03
51,"90ML","Ind","4912","Murugan Talkies",NA,1,7,701,4912,2019-03-03
52,"Colette","UK/USA","4689","Lionsgate",0.109297374024131,8,11,426,2176605,2019-03-03
56,"An Engineer Imagines","Ire","3757","Sentioar",NA,1,5,751,3757,2019-03-03
57,"Elves & The Shoemaker - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","3736.0299999935201","Cinevents",-0.743112888464962,2,37,100,18279,2019-03-03
58,"Old Boys","UK/Swe","3013","Verve",-0.607528982675524,2,6,502,13293,2019-03-03
61,"Everybody's Talking About Jamie (Musical)","UK","2619.9999999903498","More2Screen",1.56234718825166,36,4,654,985836,2019-03-03
62,"Anandi Gopal Joshi","Ind","1970.3000000014099","Zee Studios",NA,1,9,218,1970,2019-03-03
70,"Burning Men","UK","938.83000000295897","Munro Film",NA,1,2,469,938,2019-03-03
71,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","857.00000000592195","Cinevents",1.52802359885587,6,4,214,29185,2019-03-03
74,"Jellyfish","UK","669","Republic Film",-0.634026258205689,3,3,223,20212,2019-03-03
82,"Antony & Cleopatra - NT Live 2018 (Theatre)","UK","398.999999999696","National Theatre",-0.769763416041551,14,1,398,642990,2019-03-03
83,"LKG(Ireland)","Ind","356.096232411443","RFT Films",NA,1,6,59,356,2019-03-03
86,"Exhibition on Screen: Young Picasso 2019 (Exhibition)","UK","260","Seventh Art Production",-0.707207207207207,4,1,260,84116,2019-03-03
88,"London Unplugged","UK","179","Munro Film",-0.51490514905149,7,1,179,7048,2019-03-03
89,"Lady Windermere's Fan 2018 (Theatre)","UK","154.49999999786999","More2Screen",NA,51,1,154,479111,2019-03-03
91,"The Wife","UK/Swe/USA","129","Picture House Entertainment",-0.481927710843374,23,1,129,1725576,2019-03-03
92,"The Tragedy of King Richard the Second - NT Live 2019 (Theatre)","UK","128.000000001773","National Theatre",-0.89768185451506,8,1,128,303808,2019-03-03
1,"Captain Marvel","USA","12750000","Disney",NA,1,655,19465,12750000,2019-03-10
2,"Fighting With My Family","UK/USA","1026797","Lionsgate",-0.492558858995394,2,564,1820,3648932,2019-03-10
3,"The LEGO Movie 2","Den/Nor/Aus/USA","816200.29118387494","Warner Bros",-0.413498450114779,5,599,1362,16789253,2019-03-10
4,"Instant Family","USA","673286","Paramount",-0.380083823469835,4,483,1393,9049572,2019-03-10
5,"How to Train Your Dragon: The Hidden World","USA","655248","Universal",-0.374217590532201,6,569,1151,18078308,2019-03-10
6,"Green Book","USA","510848","eOne Films",-0.312438339939568,6,485,1053,8391687,2019-03-10
7,"The Aftermath","UK/Ger","261294","20th Century Fox",-0.561482033440909,2,523,499,1347795,2019-03-10
8,"The Kid Who Would Be King","UK/USA","180376","20th Century Fox",-0.521750773546435,4,418,431,3304720,2019-03-10
9,"The Sleeping Beauty - Bolshoi Ballet 2019 (Ballet)","Rus","176849.03352368201","Trafalgar",NA,1,153,1155,176849,2019-03-10
10,"Alita: Battle Angel","USA/Can/Arg","169459","20th Century Fox",-0.697943199582187,5,291,582,9013097,2019-03-10
11,"Cold Pursuit","Fra/USA","135196.39410679499","StudioCanal",-0.631115369082609,3,281,481,1743561,2019-03-10
12,"The Favourite","UK/USA/Ire","129946","20th Century Fox",-0.548480352470665,10,253,513,16581331,2019-03-10
13,"Everybody Knows","Esp/Fra/Ita","118080","Universal",NA,1,54,2186,118080,2019-03-10
14,"Bohemian Rhapsody","UK/USA","116200","20th Century Fox",-0.583849641509029,20,200,581,54496154,2019-03-10
15,"On the Basis of Sex","USA","97145","eOne Films",-0.609022526130231,3,195,498,1295804,2019-03-10
16,"Badla","Ind","78693.181671072394","Reliance Big Pictures",NA,1,34,2314,78693,2019-03-10
17,"Border","Swe/Den","78429","MUBI",NA,1,49,1600,78429,2019-03-10
18,"The Kindergarten Teacher","USA","61366","Thunderbird",NA,1,73,840,61366,2019-03-10
22,"Maiden","UK","45277","Dogwoof",NA,1,16,2829,45277,2019-03-10
22,"Maiden","UK","45277","Dogwoof",NA,1,16,2829,45277,2019-03-10
24,"Mary Poppins Returns","UK/USA","40025","Disney",-0.43349893139711,12,144,277,44147179,2019-03-10
35,"Mary, Queen of Scots","UK/USA","22845","Universal",-0.594212938292657,8,65,351,9046643,2019-03-10
37,"Guddiyan Patole","Ind","21302.8700000137","Fountain",NA,1,8,2662,21302,2019-03-10
38,"Miss Bala","USA/Mex","18832.4918444865","Sony Pictures",NA,1,107,176,18832,2019-03-10
40,"Ray & Liz","UK","16436","New Wave",NA,1,13,1264,16436,2019-03-10
40,"Ray & Liz","UK","16436","New Wave",NA,1,13,1264,16436,2019-03-10
41,"All is True","UK","13762","Sony Pictures",-0.43920130399348,5,48,286,894614,2019-03-10
42,"Alien (40th Anniversary)","UK","11733.723425475901","Park Circus",-0.914169265229452,2,12,977,242960,2019-03-10
45,"A Private War","UK/USA","8613","Altitude",-0.646225252608231,4,15,574,478503,2019-03-10
46,"Stan and Ollie","UK/USA","6909","eOne Films",-0.779539870448961,9,51,135,10444469,2019-03-10
48,"Hey Duggee at the Cinema","UK","5708.4271806185898","Vue Entertainment",-0.130951430714569,8,77,74,220394,2019-03-10
49,"Scotch: The Golden Dram","UK","4939","Parkland Ent /Munro",NA,1,22,224,4939,2019-03-10
49,"Scotch: The Golden Dram","UK","4939","Parkland Ent /Munro",NA,1,22,224,4939,2019-03-10
51,"Lancaster Skies","UK","4306.0000000012296","Kaleidoscope",-0.227692583623895,3,5,861,31251,2019-03-10
53,"Oldur Beni Sevgilim","Tur","3993.9100000016701","Kinostar",NA,1,3,1331,3993,2019-03-10
58,"Colette","UK/USA","2706","Lionsgate",-0.422904670505438,9,2,1353,2215906,2019-03-10
62,"Everybody's Talking About Jamie (Musical)","UK","2211.00000000307","More2Screen",-0.156106870224728,37,3,737,1003058,2019-03-10
63,"Tobol","Rus","2006.35000000128","Kinostar",NA,1,8,250,2006,2019-03-10
65,"Elves & The Shoemaker - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","1526.00000000214","Cinevents",-0.591545035771986,3,4,381,19805,2019-03-10
67,"NT Live: I'm Not Running (2019)","UK","1454","National Theatre",0.488229273285568,7,4,363,417481,2019-03-10
68,"Heat and Dust (4K Restoration)","UK","1181.9999999991701","BFI",NA,1,1,1181,1181,2019-03-10
68,"Heat and Dust (4K Restoration)","UK","1181.9999999991701","BFI",NA,1,1,1181,1181,2019-03-10
72,"The Tragedy of King Richard the Second - NT Live 2019 (Theatre)","UK","816.99999999940303","National Theatre",4.17088607600888,9,2,408,304983,2019-03-10
74,"The Wife","UK/Swe/USA","782","Picture House Entertainment",1.36969696969697,24,1,782,1727072,2019-03-10
80,"Tortoise & The Hare - Northern Ballet Bite Sized Ballets 2019 (Ballet)","UK","595.49999999562795","Cinevents",-0.305134189041408,7,2,297,29781,2019-03-10
85,"Old Boys","UK/Swe","498","Verve",-0.834716229671424,3,2,249,15593,2019-03-10
86,"Burning Men","UK","478.99999999879901","Munro Film",-0.489790483903061,2,1,478,2076,2019-03-10
91,"Of Love & Law","UK/Jpn/Fra","222","Hakawati",-0.948311990686845,2,3,74,5733,2019-03-10
93,"London Unplugged","UK","168","Munro Film",-0.0614525139664804,8,1,168,7277,2019-03-10
95,"Jellyfish","UK","153","Republic Film",-0.771300448430493,4,1,153,23893,2019-03-10
1,"Captain Marvel","USA","6643217.0912494399","Disney",-0.47770895,2,652,10188,23657527,2019-03-17
2,"Fisherman's Friends","UK","1154864.71559229","Entertainment",NA,1,506,2282,1154864,2019-03-17
3,"What Men Want","USA","836612","Paramount",NA,1,495,1690,836612,2019-03-17
4,"The LEGO Movie 2","Den/Nor/Aus/USA","643623.82169330702","Warner Bros",-0.21569125,6,599,1074,17522377,2019-03-17
5,"Fighting With My Family","UK/USA","632598","Lionsgate",-0.38370486,3,497,1272,4640128,2019-03-17
6,"How to Train Your Dragon: The Hidden World","USA","530499","Universal",-0.19296962,7,548,968,18696164,2019-03-17
7,"Instant Family","USA","467902","Paramount",-0.30662181,5,441,1061,9746027,2019-03-17
8,"Green Book","USA","351502","eOne Films",-0.31500587,7,427,823,9091220,2019-03-17
9,"Misz Masz Czyli Kogel Mogel 4","Pol","167934.795427178","Magnetes",NA,1,137,1225,167934,2019-03-17
10,"The Kid Who Would be King","UK/USA","108728","20th Century Fox",-0.39782898,5,317,342,3426172,2019-03-17
11,"Everybody Knows","Esp/Fra/Ita","100469","Universal",-0.14914465,2,85,1181,284357,2019-03-17
12,"The Prodigy","USA/Canada","96905.490061365606","Vertigo",NA,1,92,1053,96905,2019-03-17
13,"Ben Is Back","USA","82204","STX Entertainment",NA,1,114,721,82204,2019-03-17
14,"Alita: Battle Angel","USA/Can/Arg","78076","20th Century Fox",-0.54048614,6,190,410,9168390,2019-03-17
15,"The Aftermath","UK/Ger","75172","20th Century Fox",-0.7127836,3,333,225,1673401,2019-03-17
16,"Bohemian Rhapsody","UK/USA","67285","20th Century Fox",-0.42095525,21,161,417,54694629,2019-03-17
